rapport_titel	search_title	matched_title	match_score	match_source	rep_nwoorden	rep_ttr	rep_hapax_ratio	rep_gem_zinslengte	rep_ratio_nominalisaties	rep_formele_taal_ratio	rep_ratio_afkortingen	category	report_type
Kosten jeugdbescherming en jeugdreclassering	Kosten jeugdbescherming en jeugdreclassering	Kosten van jeugdbescherming en jeugdreclassering	95.7	excel	4328.0	0.2297	0.5231	23.87	6.03	0.4124	4.69	JenV	thematisch
Vastgoed van het Rijk: volume en waarde	Vastgoed van het Rijk: volume en waarde	Vastgoed van het Rijk: volume en waarde	100.0	excel	4311.0	0.2296	0.5727	26.28	2.78	0.4412	1.67	RIJKS	thematisch
Rapport bij het Jaarverslag 2011 van Nationale Schuld	Rapport bij het Jaarverslag 2011 van Nationale Schuld	Rapport bij het Jaarverslag 2011 van de Nationale Schuld	97.2	excel	1211.0	0.3179	0.5558	20.68	3.72	0.4393	5.78	FIN	verantwoordingsonderzoek
Rapport bij het Jaarverslag 2011 van het Ministerie van Defensie	Rapport bij het Jaarverslag 2011 van het Ministerie van Defensie	Rapport bij het Jaarverslag 2011 van het Ministerie van Defensie	100.0	excel	4378.0	0.2524	0.5864	17.96	5.23	0.4335	2.4	BZ	verantwoordingsonderzoek
Rapport bij het Jaarverslag 2011 van het Ministerie van Algemene Zaken (III)	Rapport bij het Jaarverslag 2011 van het Ministerie van Algemene Zaken (III)	Rapport bij het Jaarverslag 2011 van het Ministerie van Algemene Zaken	95.9	excel	976.0	0.2592	0.4664	28.44	3.18	0.4365	5.94	AZ	verantwoordingsonderzoek
Rapport bij het Jaarverslag 2011 van het Ministerie van Financiën	Rapport bij het Jaarverslag 2011 van het Ministerie van Financiën	Rapport bij het Jaarverslag 2011 van het Ministerie van Financiën	100.0	excel	4444.0	0.2536	0.5697	20.83	4.7	0.4266	3.35	FIN	verantwoordingsonderzoek
Geldstromen in het hoger beroepsonderwijs in 2010	Geldstromen in het hoger beroepsonderwijs in 2010	Geldstromen in het hoger beroepsonderwijs in 2010	100.0	excel	2488.0	0.2805	0.606	29.59	3.78	0.4823	2.57	OCW	thematisch
Risico's voor de overheidsfinanciën; Inzicht en beheersing	Risico's voor de overheidsfinanciën; Inzicht en beheersing	Risico’s voor de overheidsfinanciën	73.1	excel	4431.0	0.216	0.511	21.15	2.6	0.4324	2.93	FIN	thematisch
Centra voor Jeugd en Gezin in gemeenten	Centra voor Jeugd en Gezin in gemeenten	Centra voor Jeugd en Gezin in gemeenten	100.0	excel	4509.0	0.2409	0.5663	24.65	4.21	0.3888	5.17	VWS	thematisch
Handhaving Europese regels voor afvaltransport	Handhaving Europese regels voor afvaltransport	Handhaving Europese regels voor afvaltransport	100.0	excel	4509.0	0.2546	0.5714	19.38	5.39	0.4227	5.85	INTER	thematisch
Beantwoording vragen Tweede Kamer bij de brief van de Algemene Rekenkamer over Vastgoedplan Defensie	Vastgoedplan Defensie	Vastgoedplan Defensie	100.0	excel	4661.0	0.2394	0.5753	22.16	3.95	0.4134	3.15		thematisch
Uitstapkosten Joint Strike Fighter	Uitstapkosten Joint Strike Fighter	Uitstapkosten Joint Strike Fighter	100.0	excel	4315.0	0.2315	0.5646	23.48	4.19	0.4132	4.19	DEF	thematisch
Aanpassing aan klimaatverandering: strategie en beleid	Aanpassing aan klimaatverandering: strategie en beleid	Aanpassing aan klimaatverandering: strategie en beleid	100.0	excel	4293.0	0.2548	0.5676	21.09	5.94	0.467	2.42	RIJKS	thematisch
Bezuinigingen op uitvoeringsorganisaties	Bezuinigingen op uitvoeringsorganisaties	Bezuinigingen op uitvoeringsorganisaties	100.0	excel	4189.0	0.269	0.5865	24.25	5.08	0.4531	1.86	FIN	thematisch
Beantwoording vragen Tweede Kamer over het Rapport bij het Jaarverslag 2012 van het Ministerie van Defensie	bij het Jaarverslag 2012 van het Ministerie van Defensie	Rapport bij het Jaarverslag 2012 van het Ministerie van Defensie	93.3	excel	4341.0	0.2382	0.5696	20.91	6.52	0.4398	2.99	DEF	verantwoordingsonderzoek
Rapport bij het Jaarverslag 2012. Ministerie van Economische Zaken (XIII)	Rapport bij het Jaarverslag 2012. Ministerie van Economische Zaken (XIII)	Rapport bij het Jaarverslag 2011 van het Ministerie van Algemene Zaken	76.9	excel	976.0	0.2592	0.4664	28.44	3.18	0.4365	5.94	AZ	verantwoordingsonderzoek
Rapport bij het Jaarverslag 2012; Ministerie van Financiën (IXB)	Rapport bij het Jaarverslag 2012; Ministerie van Financiën (IXB)	Rapport bij het Jaarverslag 2012 van het Ministerie van Financiën	88.4	excel	4344.0	0.2562	0.5696	21.98	5.5	0.445	3.84	FIN	verantwoordingsonderzoek
Rapport bij het Jaarverslag 2012 van het Ministerie van Onderwijs, Cultuur en Wetenschap	Rapport bij het Jaarverslag 2012 van het Ministerie van Onderwijs, Cultuur en Wetenschap	Rapport bij het Jaarverslag 2011 van het Ministerie van Onderwijs, Cultuur en Wetenschap	98.9	excel	3303.0	0.224	0.4689	23.45	5.66	0.4423	3.48	OCW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Rapport bij het Jaarverslag 2012 van het Ministerie van Veiligheid en Justitie	bij het Jaarverslag 2012 van het Ministerie van Veiligheid en Justitie	Rapport bij het Jaarverslag 2011 van het Ministerie van Veiligheid en Justitie	93.2	excel	4349.0	0.224	0.5164	19.29	5.82	0.4307	3.17	JenV	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het rapport Staat van de rijksverantwoording 2012	Staat van de rijksverantwoording 2012	Staat van de rijksverantwoording 2012	100.0	meta								RIJKS	thematisch
Effectiviteitsonderzoek bij de rijksoverheid: vervolgonderzoek	Effectiviteitsonderzoek bij de rijksoverheid: vervolgonderzoek	Effectiviteitsonderzoek bij de rijksoverheid: vervolgonderzoek	100.0	excel	4173.0	0.2305	0.5707	24.47	5.42	0.4448	1.25	RIJKS	thematisch
Validering nota 'In het belang van Nederland'	Validering nota 'In het belang van Nederland'	Validering nota 'In het belang van Nederland'	100.0	excel	4883.0	0.2261	0.5616	28.12	4.24	0.386	0.63	INTER	thematisch
Beantwoording vragen Tweede Kamer Modernisering van de Comptabiliteitswet	Modernisering van de Comptabiliteitswet	Input voor rondetafelgesprek modernisering Comptabiliteitswet	72.0	excel	4345.0	0.2446	0.5278	21.58	5.71	0.4341	3.15		thematisch
Beantwoording vraag Tweede Kamer bij brief 'Aandachtspunten overheveling buitenonderhoud en aanpassing van schoolgebouwen'	Beantwoording vraag Tweede Kamer bij brief 'Aandachtspunten overheveling buitenonderhoud en aanpassing van schoolgebouwen'	Aandachtspunten overheveling buitenonderhoud en aanpassing schoolgebouwen	74.9	excel	4386.0	0.2462	0.5759	24.58	4.74	0.4446	2.1		thematisch
Beantwoording vragen Tweede Kamer bij Programma Speer van Ministerie van Defensie	bij Programma Speer van Ministerie van Defensie	Programma SPEER van het Ministerie van Defensie	85.1	excel	2932.0	0.2926	0.634	21.95	5.29	0.4318	3.44		thematisch
Beantwoording vragen Tweede Kamer bij de publicatie Bezuiniging op de zorgtoeslag; realisatie en effect	Bezuiniging op de zorgtoeslag; realisatie en effect	Bezuiniging op de zorgtoeslag	72.5	excel	3218.0	0.1489	0.0	25.47	5.13	0.4363	1.86	FIN	thematisch
Rapport bij de Nationale verklaring 2014	Rapport bij de Nationale verklaring 2014	Rapport bij de Nationale verklaring 2014	100.0	excel	4390.0	0.2011	0.5323	31.71	6.22	0.4185	2.73	RIJKS	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Rapport bij het Jaarverslag 2013 van het Ministerie van Volksgezondheid, Welzijn en Sport	bij het Jaarverslag 2013 van het Ministerie van Volksgezondheid, Welzijn en Sport	Rapport bij het Jaarverslag 2011 van het Ministerie van Volksgezondheid, Welzijn en Sport	94.1	excel	4432.0	0.248	0.5532	21.28	5.73	0.421	3.41	VWS	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over Resultaten verantwoordingsonderzoek 2013 bij het Ministerie van Defensie	Resultaten verantwoordingsonderzoek 2013 bij het Ministerie van Defensie	Resultaten verantwoordingsonderzoek 2013 bij het Ministerie van Defensie	100.0	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2013 bij het Ministerie van Financiën	Resultaten verantwoordingsonderzoek 2013 bij het Ministerie van Financiën	Resultaten verantwoordingsonderzoek 2013 bij het Ministerie van Financiën	100.0	meta								FIN	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2013 bij het Ministerie van Infrastructuur en Milieu	Resultaten verantwoordingsonderzoek 2013 bij het Ministerie van Infrastructuur en Milieu	Resultaten verantwoordingsonderzoek 2013 bij het Ministerie van Infrastructuur en Milieu	100.0	meta								IenW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2013 bij het Ministerie van OCW	Resultaten verantwoordingsonderzoek 2013 bij het Ministerie van OCW	Resultaten verantwoordingsonderzoek 2013 bij het Ministerie van Defensie	90.6	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2013 bij het Ministerie van SZW	Resultaten verantwoordingsonderzoek 2013 bij het Ministerie van SZW	Resultaten verantwoordingsonderzoek 2013 bij het Ministerie van Defensie	90.6	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2013 bij het Ministerie van Veiligheid en Justitie	Resultaten verantwoordingsonderzoek 2013 bij het Ministerie van Veiligheid en Justitie	Resultaten verantwoordingsonderzoek 2013 bij het Ministerie van Veiligheid en Justitie	100.0	meta								JenV	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over 'Staat van de rijksverantwoording 2013, rijksbrede resultaten en thema's'	over 'Staat van de rijksverantwoording 2013, rijksbrede resultaten en thema's'		0.0										thematisch
Bezuiniging op de kinderopvangtoeslag; Realisatie en effect	Bezuiniging op de kinderopvangtoeslag; Realisatie en effect	Bezuiniging op de kinderopvangtoeslag	77.1	excel	3280.0	0.1555	0.0549	25.48	4.05	0.4006	2.26	SZW	thematisch
Beantwoording vragen Tweede Kamer bij de Begrotingsbrief Defensie d.d. 14 oktober 2014 van de Algemene Rekenkamer	bij de Begrotingsbrief Defensie d.d. 14 oktober 2014 van de Algemene Rekenkamer		0.0										thematisch
Beantwoording vragen Tweede Kamer bij de publicatie Bezuiniging op cultuur; Realisatie en effect	Bezuiniging op cultuur; Realisatie en effect	Bezuiniging op cultuur	66.7	excel	4718.0	0.1395	0.0152	26.76	5.77	0.3993	2.73	OCW	thematisch
Beantwoording vragen Tweede Kamer bij webpublicatie 'Belastinguitgaven en milieueffecten'	bij webpublicatie 'Belastinguitgaven en milieueffecten'	Belastinguitgaven en milieueffecten	77.8	excel	1768.0	0.349	0.6402	17.88	4.58	0.483	3.56		thematisch
Beantwoording vragen Tweede Kamer bij de publicatie Trendrapport open data 2015	Trendrapport open data 2015	Trendrapport open data 2015	100.0	excel	4798.0	0.2916	0.6512	22.55	2.94	0.3727	2.58	BZK	thematisch
Beantwoording vragen Tweede Kamer bij Rekenkamerrapport Intensivering toezicht en invordering bij de Belastingdienst	bij Rekenkamerrapport Intensivering toezicht en invordering bij de Belastingdienst	Intensivering toezicht en invordering bij de Belastingdienst	84.5	excel	4824.0	0.2104	0.5498	32.39	4.31	0.3746	0.75	FIN	thematisch
Begrotingsreserves; Het opzij zetten van geld als begrotingsinstrument	Begrotingsreserves; Het opzij zetten van geld als begrotingsinstrument		0.0										thematisch
Beantwoording vragen Tweede Kamer over het Rapport bij de Nationale verklaring 2016	bij de Nationale verklaring 2016	Rapport bij de Nationale verklaring 2016	88.9	excel	4135.0	0.2571	0.5644	27.34	6.43	0.4837	4.35	RIJKS	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van BZK	Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van BZK	Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Defensie	92.1	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Financiën	Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Financiën	Resultaten verantwoordingsonderzoek 2014 bij het Ministerie van Financiën	98.6	meta								FIN	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Infrastructuur en Milieu	Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Infrastructuur en Milieu	Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Infrastructuur en Milieu	100.0	meta								IenW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	100.0	meta								OCW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2015 Wonen en Rijksdienst	over de Resultaten verantwoordingsonderzoek 2015 Wonen en Rijksdienst	Resultaten verantwoordingsonderzoek 2015 bij Wonen en Rijksdienst	92.5	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Defensie	Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Defensie	Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Defensie	100.0	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het rapport Staat van de rijksverantwoording 2015	Staat van de rijksverantwoording 2015	Staat van de rijksverantwoording 2015	100.0	meta								RIJKS	thematisch
Beantwoording vragen Tweede Kamer bij Rekenkamerrapport Aanpak van laaggeletterdheid	bij Rekenkamerrapport Aanpak van laaggeletterdheid	Aanpak van laaggeletterdheid	71.8	excel	4815.0	0.216	0.5481	24.26	3.32	0.3763	1.14	INTER	thematisch
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij de Koning	over de Resultaten verantwoordingsonderzoek 2016 bij de Koning	Resultaten verantwoordingsonderzoek 2015 bij de Koning	91.4	meta								AZ	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij de Overige Hoge Colleges van Staat	over de Resultaten verantwoordingsonderzoek 2016 bij de Overige Hoge Colleges van Staat	Resultaten verantwoordingsonderzoek 2024 Overige Hoge Colleges van Staat	88.1	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij de Staten-Generaal	over de Resultaten verantwoordingsonderzoek 2016 bij de Staten-Generaal	Resultaten verantwoordingsonderzoek 2016 bij de Staten-Generaal	94.0	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Economische Zaken	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Economische Zaken	Resultaten verantwoordingsonderzoek 2014 bij het Ministerie van Economische Zaken	98.8	meta								EZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Infrastructuur en Milieu	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Infrastructuur en Milieu	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Infrastructuur en Milieu	100.0	meta								IenW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van SZW	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van SZW	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	90.6	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Veiligheid en Justitie	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Veiligheid en Justitie	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Veiligheid en Justitie	100.0	meta								JenV	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Financiën en Nationale Schuld	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Financiën en Nationale Schuld	Resultaten verantwoordingsonderzoek 2021 Ministerie van Financiën en Nationale Schuld	94.4	meta								FIN	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Rapport bij de Nationale verklaring 2017	bij de Nationale verklaring 2017	Rapport bij de Nationale verklaring 2017	88.9	excel	4238.0	0.2251	0.565	34.77	6.96	0.4691	4.65	RIJKS	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van BZK	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van BZK	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	92.1	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van VWS	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van VWS	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	90.6	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij Wonen en Rijksdienst	over de Resultaten verantwoordingsonderzoek 2016 bij Wonen en Rijksdienst	Resultaten verantwoordingsonderzoek 2016 bij Wonen en Rijksdienst	94.2	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer bij rapport Vastgoed universiteiten	bij rapport Vastgoed universiteiten	Vastgoed universiteiten	79.3	excel	4247.0	0.2418	0.5482	26.75	6.5	0.4516	0.97	OCW	thematisch
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Economische Zaken	Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Economische Zaken	Resultaten verantwoordingsonderzoek 2014 bij het Ministerie van Economische Zaken	98.8	meta								EZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Financiën en Nationale Schuld	Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Financiën en Nationale Schuld	Resultaten verantwoordingsonderzoek 2021 Ministerie van Financiën en Nationale Schuld	94.4	meta								FIN	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van IenM	Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van IenM	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	92.9	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Justitie en Veiligheid	Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Justitie en Veiligheid	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Veiligheid en Justitie	98.8	meta								JenV	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van VWS	Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van VWS	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	89.2	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten Verantwoordingsonderzoek 2017 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	Resultaten Verantwoordingsonderzoek 2017 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	Resultaten verantwoordingsonderzoek 2017 Ministerie van Onderwijs, Cultuur en Wetenschap	75.0	meta								OCW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over brief 5 april 2018 inzake kabinetsreactie op rapport Adviescommissie Verslaggevingsstelsel rijksoverheid	over brief 5 april 2018 inzake kabinetsreactie op rapport Adviescommissie Verslaggevingsstelsel rijksoverheid	Reactie op rapportage Adviescommissie Verslaggevingsstelsel rijksoverheid	68.1	excel	611.0	0.4828	0.7254	25.29	4.75	0.4272	3.11		overig
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het jaarverslag van het gemeentefonds	Resultaten verantwoordingsonderzoek 2017 bij het jaarverslag van het gemeentefonds	Resultaten verantwoordingsonderzoek 2017 Wonen en Rijksdienst	72.7	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het jaarverslag van Wonen en Rijksdienst	Resultaten verantwoordingsonderzoek 2017 bij het jaarverslag van Wonen en Rijksdienst	Resultaten verantwoordingsonderzoek 2016 bij Wonen en Rijksdienst	85.3	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017: de Staat van de rijksverantwoording	over de Resultaten verantwoordingsonderzoek 2017: de Staat van de rijksverantwoording	Resultaten verantwoordingsonderzoek 2017 Staten-Generaal	72.3	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Rapport bij de Nationale Verklaring 2018	bij de Nationale Verklaring 2018	Rapport bij de Nationale Verklaring 2020	83.3	excel	4343.0	0.2208	0.5777	33.99	6.72	0.4421	4.86	FIN	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het jaarverslag van het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Resultaten verantwoordingsonderzoek 2017 bij het jaarverslag van het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	90.4	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Defensie	Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Defensie	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	98.6	meta								DEF	verantwoordingsonderzoek
Brexit Voorbereiding op financiële en economische gevolgen, en consequenties voor de Douane	Brexit Voorbereiding op financiële en economische gevolgen, en consequenties voor de Douane		0.0										thematisch
Beantwoording vraag Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij Koninkrijksrelaties	Beantwoording vraag Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij Koninkrijksrelaties	Resultaten verantwoordingsonderzoek 2016 bij Koninkrijksrelaties en BES-fonds	75.8	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van BZK	Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van BZK	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	90.6	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Economische Zaken en Klimaat (XIII), Ministerie van Landbouw, Natuur en Voedselkwaliteit en Diergezondheidsfonds (F)	Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Economische Zaken en Klimaat (XIII), Ministerie van Landbouw, Natuur en Voedselkwaliteit en Diergezondheidsfonds (F)	Resultaten verantwoordingsonderzoek 2018 Ministerie van Economische Zaken en Klimaat, Ministerie van Landbouw, Natuur en Voedselkwaliteit en Diergezondheidsfonds	93.8	meta								EZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Financiën en Nationale Schuld	Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Financiën en Nationale Schuld	Resultaten verantwoordingsonderzoek 2018 Ministerie van Financiën en Nationale Schuld	95.5	meta								FIN	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Infrastructuur en Waterstaat	Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Infrastructuur en Waterstaat	Resultaten verantwoordingsonderzoek 2018 Ministerie van Infrastructuur en Waterstaat	95.5	meta								IenW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Defensie	Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Defensie	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	98.6	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Justitie en Veiligheid	Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Justitie en Veiligheid	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Veiligheid en Justitie	98.8	meta								JenV	verantwoordingsonderzoek
